no,county,prefecture,province,type,population
1883,Gonghe,Hainan,Qinghai,County,"122,966"
1884,Tongde,Hainan,Qinghai,County,"64,367"
1885,Guide,Hainan,Qinghai,County,"101,771"
1886,Xinghai,Hainan,Qinghai,County,"76,025"
1887,Guinan,Hainan,Qinghai,County,"76,560"
1888,Golmud,Haixi,Qinghai,City,"215,213"
1889,Delhi,Haixi,Qinghai,City,"78,184"
1890,Ulan,Haixi,Qinghai,County,"38,273"
1891,Dulan,Haixi,Qinghai,County,"76,623"
1892,Tianjun,Haixi,Qinghai,County,"33,923"
1893,Mangnai,Haixi,Qinghai,Administrative committee,"31,017"
1894,Da Qaidam,Haixi,Qinghai,Administrative committee,"13,671"
1895,Lenghu,Haixi,Qinghai,Administrative committee,"2,434"
1896,Tongren,Huangnan,Qinghai,County,"92,601"
1897,Jainca,Huangnan,Qinghai,County,"55,325"
1898,Zekog,Huangnan,Qinghai,County,"69,416"
1899,Henan,Huangnan,Qinghai,Autonomous county (Mongol),"39,374"
1900,Maqen,Golog,Qinghai,County,"51,245"
1901,Baima,Golog,Qinghai,County,"27,185"
1902,Gade,Golog,Qinghai,County,"34,840"
1903,Darlag,Golog,Qinghai,County,"30,995"
1904,Jigzhi,Golog,Qinghai,County,"26,081"
1905,Madoi,Golog,Qinghai,County,"11,336"
1906,Yushu,Yushu,Qinghai,City,"120,447"
1907,Zadoi,Yushu,Qinghai,County,"58,268"
1908,Chindu,Yushu,Qinghai,County,"55,619"
1909,Zhidoi,Yushu,Qinghai,County,"30,037"
1910,Nangqen,Yushu,Qinghai,County,"85,825"
1911,Qumarleb,Yushu,Qinghai,County,"28,243"
1912,Xincheng,Xian,Shaanxi,District,"589,739"
1913,Beilin,Xian,Shaanxi,District,"614,710"
1914,Lianhu,Xian,Shaanxi,District,"698,513"
1915,Baqiao,Xian,Shaanxi,District,"595,124"
1916,Weiyang,Xian,Shaanxi,District,"806,811"
1917,Yanta,Xian,Shaanxi,District,"1,178,529"
1918,Yanliang,Xian,Shaanxi,District,"278,604"
1919,Lintong,Xian,Shaanxi,District,"655,874"
1920,Changan,Xian,Shaanxi,District,"1,083,285"
1921,Lantian,Xian,Shaanxi,County,"514,026"
1922,Zhouzhi,Xian,Shaanxi,County,"562,768"
1923,Hu,Xian,Shaanxi,County,"556,377"
1924,Gaoling,Xian,Shaanxi,County,"333,477"
1925,Yaozhou,Tongchuan,Shaanxi,District,"200,230"
1926,Yintai,Tongchuan,Shaanxi,District,"217,509"
1927,Wangyi,Tongchuan,Shaanxi,District,"325,538"
1928,Yijun,Tongchuan,Shaanxi,County,"91,160"
1929,Weibin,Baoji,Shaanxi,District,"448,189"
1930,Jintai,Baoji,Shaanxi,District,"394,538"
1931,Chencang,Baoji,Shaanxi,District,"595,075"
1932,Fengxiang,Baoji,Shaanxi,County,"483,471"
1933,Qishan,Baoji,Shaanxi,County,"459,064"
1934,Fufeng,Baoji,Shaanxi,County,"416,398"
1935,Mei,Baoji,Shaanxi,County,"299,988"
1936,Long,Baoji,Shaanxi,County,"248,901"
1937,Qianyang,Baoji,Shaanxi,County,"123,959"
1938,Linyou,Baoji,Shaanxi,County,"90,728"
1939,Feng,Baoji,Shaanxi,County,"105,492"
1940,Taibai,Baoji,Shaanxi,County,"50,928"
1941,Qindu,Xianyang,Shaanxi,District,"507,093"
1942,Yangling,Xianyang,Shaanxi,District,"201,172"
1943,Weicheng,Xianyang,Shaanxi,District,"438,327"
1944,Sanyuan,Xianyang,Shaanxi,County,"403,529"
1945,Jingyang,Xianyang,Shaanxi,County,"487,749"
1946,Qian,Xianyang,Shaanxi,County,"527,088"
1947,Liquan,Xianyang,Shaanxi,County,"447,771"
1948,Yongshou,Xianyang,Shaanxi,County,"184,642"
1949,Bin,Xianyang,Shaanxi,County,"323,256"
1950,Changwu,Xianyang,Shaanxi,County,"167,570"
1951,Xunyi,Xianyang,Shaanxi,County,"261,566"
1952,Chunhua,Xianyang,Shaanxi,County,"193,377"
1953,Wugong,Xianyang,Shaanxi,County,"411,312"
1954,Xingping,Xianyang,Shaanxi,City,"541,554"
1955,Linwei,Weinan,Shaanxi,District,"877,142"
1956,Hua,Weinan,Shaanxi,County,"322,148"
1957,Tongguan,Weinan,Shaanxi,County,"155,463"
1958,Dali,Weinan,Shaanxi,County,"693,392"
1959,Heyang,Weinan,Shaanxi,County,"436,441"
1960,Chengcheng,Weinan,Shaanxi,County,"386,150"
1961,Pucheng,Weinan,Shaanxi,County,"743,000"
1962,Baishui,Weinan,Shaanxi,County,"279,679"
1963,Fuping,Weinan,Shaanxi,County,"743,385"
1964,Hancheng,Weinan,Shaanxi,City,"391,164"
1965,Huayin,Weinan,Shaanxi,City,"258,113"
1966,Baota,Yanan,Shaanxi,District,"475,234"
1967,Yanchang,Yanan,Shaanxi,County,"125,391"
1968,Yanchuan,Yanan,Shaanxi,County,"168,375"
1969,Zichang,Yanan,Shaanxi,County,"216,910"
1970,Ansai,Yanan,Shaanxi,County,"171,552"
1971,Zhidan,Yanan,Shaanxi,County,"140,489"
1972,Wuqi,Yanan,Shaanxi,County,"145,061"
1973,Ganquan,Yanan,Shaanxi,County,"77,188"
1974,Fu,Yanan,Shaanxi,County,"149,727"
1975,Luochuan,Yanan,Shaanxi,County,"220,684"
1976,Yichuan,Yanan,Shaanxi,County,"117,203"
1977,Huanglong,Yanan,Shaanxi,County,"49,392"
1978,Huangling,Yanan,Shaanxi,County,"129,803"
1979,Hantai,Hanzhong,Shaanxi,District,"534,923"
1980,Nanzheng,Hanzhong,Shaanxi,County,"471,634"
1981,Chenggu,Hanzhong,Shaanxi,County,"464,903"
1982,Yang,Hanzhong,Shaanxi,County,"383,981"
1983,Xixiang,Hanzhong,Shaanxi,County,"341,812"
1984,Mian,Hanzhong,Shaanxi,County,"388,123"
1985,Ningqiang,Hanzhong,Shaanxi,County,"308,885"
1986,Lueyang,Hanzhong,Shaanxi,County,"201,645"
1987,Zhenba,Hanzhong,Shaanxi,County,"246,817"
1988,Liuba,Hanzhong,Shaanxi,County,"43,398"
1989,Foping,Hanzhong,Shaanxi,County,"30,075"
1990,Yuyang,Yulin,Shaanxi,District,"637,617"
1991,Shenmu,Yulin,Shaanxi,County,"455,493"
1992,Fugu,Yulin,Shaanxi,County,"260,585"
1993,Hengshan,Yulin,Shaanxi,County,"288,053"
1994,Jingbian,Yulin,Shaanxi,County,"355,939"
1995,Dingbian,Yulin,Shaanxi,County,"319,370"
1996,Suide,Yulin,Shaanxi,County,"296,088"
1997,Mizhi,Yulin,Shaanxi,County,"154,953"
1998,Jia,Yulin,Shaanxi,County,"204,666"
1999,Wubu,Yulin,Shaanxi,County,"75,748"
2000,Qingjian,Yulin,Shaanxi,County,"128,938"
2001,Zizhou,Yulin,Shaanxi,County,"173,987"
2002,Hanbin,Ankang,Shaanxi,District,"870,126"
2003,Hanyin,Ankang,Shaanxi,County,"246,147"
2004,Shiquan,Ankang,Shaanxi,County,"171,097"
2005,Ningshan,Ankang,Shaanxi,County,"70,435"
2006,Ziyang,Ankang,Shaanxi,County,"283,947"
2007,Langao,Ankang,Shaanxi,County,"154,157"
2008,Pingli,Ankang,Shaanxi,County,"192,959"
2009,Zhenping,Ankang,Shaanxi,County,"50,966"
2010,Xunyang,Ankang,Shaanxi,County,"426,677"
2011,Baihe,Ankang,Shaanxi,County,"163,395"
2012,Shangzhou,Shangluo,Shaanxi,District,"531,646"
2013,Luonan,Shangluo,Shaanxi,County,"441,643"
2014,Danfeng,Shangluo,Shaanxi,County,"295,424"
2015,Shangnan,Shangluo,Shaanxi,County,"221,564"
2016,Shanyang,Shangluo,Shaanxi,County,"422,255"
2017,Zhenan,Shangluo,Shaanxi,County,"275,862"
2018,Zhashui,Shangluo,Shaanxi,County,"153,348"
2019,Lixia,Jinan,Shandong,District,"754,100"
2020,Shizhong,Jinan,Shandong,District,"713,600"
2021,Huaiyin,Jinan,Shandong,District,"476,800"
2022,Tianqiao,Jinan,Shandong,District,"688,400"
2023,Licheng,Jinan,Shandong,District,"1,124,300"
2024,Changqing,Jinan,Shandong,District,"578,700"
2025,Pingyin,Jinan,Shandong,County,"331,700"
2026,Jiyang,Jinan,Shandong,County,"517,900"
2027,Shanghe,Jinan,Shandong,County,"564,100"
2028,Zhangqiu,Jinan,Shandong,City,"1,064,200"
2029,Shinan,Qingdao,Shandong,District,"544,800"
2030,Shibei,Qingdao,Shandong,District,"558,200"
2031,Licang,Qingdao,Shandong,District,"512,400"
2032,Huangdao,Qingdao,Shandong,District,"524,200"
2033,Laoshan,Qingdao,Shandong,District,"379,500"
2034,Chengyang,Qingdao,Shandong,District,"737,200"
2035,Jiaozhou,Qingdao,Shandong,City,"843,100"
2036,Pingdu,Qingdao,Shandong,City,"1,357,400"
2037,Laixi,Qingdao,Shandong,City,"750,200"
2038,Jimo,Qingdao,Shandong,City,"1,177,200"
2039,Zichuan,Zibo,Shandong,District,"731,900"
2040,Zhangdian,Zibo,Shandong,District,"929,200"
2041,Boshan,Zibo,Shandong,District,"463,000"
2042,Linzi,Zibo,Shandong,District,"642,800"
2043,Zhoucun,Zibo,Shandong,District,"362,300"
2044,Huantai,Zibo,Shandong,County,"504,000"
2045,Gaoqing,Zibo,Shandong,County,"347,900"
2046,Yiyuan,Zibo,Shandong,County,"549,500"
2047,Shizhong,Zaozhuang,Shandong,District,"535,500"
2048,Xuecheng,Zaozhuang,Shandong,District,"481,400"
2049,Yicheng,Zaozhuang,Shandong,District,"364,200"
2050,Taierzhuang,Zaozhuang,Shandong,District,"279,500"
2051,Shanting,Zaozhuang,Shandong,District,"465,000"
2052,Tengzhou,Zaozhuang,Shandong,City,"1,603,700"
2053,Dongying,Dongying,Shandong,District,"756,700"
2054,Hekou,Dongying,Shandong,District,"247,600"
2055,Kenli,Dongying,Shandong,County,"242,300"
2056,Lijin,Dongying,Shandong,County,"281,200"
2057,Guangrao,Dongying,Shandong,County,"507,500"
2058,Zhifu,Yantai,Shandong,District,"830,200"
2059,Fushan,Yantai,Shandong,District,"644,800"
2060,Muping,Yantai,Shandong,District,"467,600"
2061,Laishan,Yantai,Shandong,District,"285,100"
2062,Changdao,Yantai,Shandong,County,"44,000"
2063,Longkou,Yantai,Shandong,City,"688,300"
2064,Laiyang,Yantai,Shandong,City,"878,600"
2065,Laizhou,Yantai,Shandong,City,"883,900"
2066,Penglai,Yantai,Shandong,City,"451,100"
2067,Zhaoyuan,Yantai,Shandong,City,"566,200"
2068,Qixia,Yantai,Shandong,City,"589,700"
2069,Haiyang,Yantai,Shandong,City,"638,700"
2070,Weicheng,Weifang,Shandong,District,"415,100"
2071,Hanting,Weifang,Shandong,District,"424,100"
2072,Fangzi,Weifang,Shandong,District,"512,200"
2073,Kuiwen,Weifang,Shandong,District,"525,900"
2074,Linqu,Weifang,Shandong,County,"834,300"
2075,Changle,Weifang,Shandong,County,"615,900"
2076,Qingzhou,Weifang,Shandong,City,"940,400"
2077,Zhucheng,Weifang,Shandong,City,"1,086,200"
2078,Shouguang,Weifang,Shandong,City,"1,139,400"
2079,Anqiu,Weifang,Shandong,City,"926,900"
2080,Gaomi,Weifang,Shandong,City,"895,600"
2081,Changyi,Weifang,Shandong,City,"603,500"
2082,Rencheng,Jining,Shandong,District,"526,400"
2083,Yanzhou,Jining,Shandong,District,"744,200"
2084,Shizhong,Jining,Shandong,District,"588,900"
2085,Weishan,Jining,Shandong,County,"633,400"
2086,Yutai,Jining,Shandong,County,"437,100"
2087,Jinxiang,Jining,Shandong,County,"625,300"
2088,Jiaxiang,Jining,Shandong,County,"818,200"
2089,Wenshang,Jining,Shandong,County,"684,600"
2090,Sishui,Jining,Shandong,County,"536,100"
2091,Liangshan,Jining,Shandong,County,"730,700"
2092,Qufu,Jining,Shandong,City,"640,500"
2093,Zoucheng,Jining,Shandong,City,"1,116,700"
2094,Taishan,Taian,Shandong,District,"760,100"
2095,Daiyue,Taian,Shandong,District,"975,400"
2096,Ningyang,Taian,Shandong,County,"754,600"
2097,Dongping,Taian,Shandong,County,"741,600"
2098,Xintai,Taian,Shandong,City,"1,315,900"
2099,Feicheng,Taian,Shandong,City,"946,600"
2100,Huancui,Weihai,Shandong,District,"908,200"
2101,Wendeng,Weihai,Shandong,District,"609,700"
2102,Rongcheng,Weihai,Shandong,City,"714,400"
2103,Rushan,Weihai,Shandong,City,"572,500"
2104,Donggang,Rizhao,Shandong,District,"920,500"
2105,Lanshan,Rizhao,Shandong,District,"400,100"
2106,Ju,Rizhao,Shandong,County,"995,600"
2107,Wulian,Rizhao,Shandong,County,"484,900"
2108,Laicheng,Laiwu,Shandong,District,"989,500"
2109,Gangcheng,Laiwu,Shandong,District,"309,000"
2110,Lanshan,Linyi,Shandong,District,"1,274,200"
2111,Luozhuang,Linyi,Shandong,District,"660,600"
2112,Hedong,Linyi,Shandong,District,"665,400"
2113,Yinan,Linyi,Shandong,County,"790,900"
2114,Tancheng,Linyi,Shandong,County,"838,000"
2115,Yishui,Linyi,Shandong,County,"998,300"
2116,Lanling,Linyi,Shandong,County,"1,161,900"
2117,Fei,Linyi,Shandong,County,"757,000"
2118,Pingyi,Linyi,Shandong,County,"900,100"
2119,Junan,Linyi,Shandong,County,"886,400"
2120,Mengyin,Linyi,Shandong,County,"489,500"
2121,Linshu,Linyi,Shandong,County,"617,100"
2122,Decheng,Dezhou,Shandong,District,"679,600"
2123,Ling,Dezhou,Shandong,District,"569,000"
2123,Lingcheng,Dezhou,Shandong,District,"569,000"
2124,Ningjin,Dezhou,Shandong,County,"449,900"
2125,Qingyun,Dezhou,Shandong,County,"294,700"
2126,Linyi,Dezhou,Shandong,County,"511,100"
2127,Qihe,Dezhou,Shandong,County,"602,000"
2128,Pingyuan,Dezhou,Shandong,County,"442,900"
2129,Xiajin,Dezhou,Shandong,County,"500,500"
2130,Wucheng,Dezhou,Shandong,County,"376,100"
2131,Leling,Dezhou,Shandong,City,"652,400"
2132,Yucheng,Dezhou,Shandong,City,"490,000"
2133,Dongchangfu,Liaocheng,Shandong,District,"1,229,800"
2134,Yanggu,Liaocheng,Shandong,County,"770,700"
2135,Shen,Liaocheng,Shandong,County,"958,800"
2136,Chiping,Liaocheng,Shandong,County,"520,100"
2137,Donge,Liaocheng,Shandong,County,"352,600"
2138,Guan,Liaocheng,Shandong,County,"764,900"
2139,Gaotang,Liaocheng,Shandong,County,"473,400"
2140,Linqing,Liaocheng,Shandong,City,"719,600"
2141,Bincheng,Binzhou,Shandong,District,"566,100"
2142,Huimin,Binzhou,Shandong,County,"602,500"
2143,Yangxin,Binzhou,Shandong,County,"427,000"
2144,Wudi,Binzhou,Shandong,County,"418,700"
2145,Boxing,Binzhou,Shandong,County,"487,100"
2146,Zouping,Binzhou,Shandong,County,"778,800"
2147,Zhanhua,Binzhou,Shandong,District,"116,600"
2148,Mudan,Heze,Shandong,District,"1,346,700"
2149,Cao,Heze,Shandong,County,"1,365,700"
2150,Shan,Heze,Shandong,County,"1,063,200"
2151,Chengwu,Heze,Shandong,County,"612,000"
2152,Juye,Heze,Shandong,County,"860,600"
2153,Yuncheng,Heze,Shandong,County,"1,040,700"
2154,Juancheng,Heze,Shandong,County,"721,900"
2155,Dingtao,Heze,Shandong,County,"565,800"
2156,Dongming,Heze,Shandong,County,"711,100"
2157,Sifang,Qingdao,Shandong,District,"462,500"
2158,Jiaonan,Qingdao,Shandong,City,"868,400"
2159,Huangpu,Directly administered,Shanghai,District,"429,891"
2160,Xuhui,Directly administered,Shanghai,District,"1,085,130"
2161,Changning,Directly administered,Shanghai,District,"690,571"
2162,Jingan,Directly administered,Shanghai,District,"246,788"
2163,Putuo,Directly administered,Shanghai,District,"1,288,881"
2164,Zhabei,Directly administered,Shanghai,District,"830,476"
2165,Hongkou,Directly administered,Shanghai,District,"852,476"
2166,Yangpu,Directly administered,Shanghai,District,"1,313,222"
2167,Pudong,Directly administered,Shanghai,District,"5,044,430"
2168,Minhang,Directly administered,Shanghai,District,"2,429,372"
2169,Baoshan,Directly administered,Shanghai,District,"1,904,886"
2170,Jiading,Directly administered,Shanghai,District,"1,471,231"
2171,Jinshan,Directly administered,Shanghai,District,"732,410"
2172,Songjiang,Directly administered,Shanghai,District,"1,582,398"
2173,Qingpu,Directly administered,Shanghai,District,"1,081,022"
2174,Fengxian,Directly administered,Shanghai,District,"1,083,463"
2175,Chongming,Directly administered,Shanghai,County,"703,722"
2176,Luwan,Directly administered,Shanghai,District,"248,779"
2177,Xiaodian,Taiyuan,Shanxi,District,"804,537"
2178,Yingze,Taiyuan,Shanxi,District,"601,112"
2179,Xinghualing,Taiyuan,Shanxi,District,"634,482"
2180,Jiancaoping,Taiyuan,Shanxi,District,"415,705"
2181,Wanbailin,Taiyuan,Shanxi,District,"749,255"
2182,Jinyuan,Taiyuan,Shanxi,District,"221,431"
2183,Qingxu,Taiyuan,Shanxi,County,"343,861"
2184,Yangqu,Taiyuan,Shanxi,County,"120,228"
2185,Loufan,Taiyuan,Shanxi,County,"105,841"
2186,Gujiao,Taiyuan,Shanxi,City,"205,139"
2187,Cheng,Datong,Shanxi,District,"723,013"
2188,Kuang,Datong,Shanxi,District,"500,158"
2189,Nanjiao,Datong,Shanxi,District,"405,864"
2190,Xinrong,Datong,Shanxi,District,"108,482"
2191,Yanggao,Datong,Shanxi,County,"272,488"
2192,Tianzhen,Datong,Shanxi,County,"206,009"
2193,Guangling,Datong,Shanxi,County,"182,613"
2194,Lingqiu,Datong,Shanxi,County,"234,004"
2195,Hunyuan,Datong,Shanxi,County,"343,486"
2196,Zuoyun,Datong,Shanxi,County,"156,163"
2197,Datong,Datong,Shanxi,County,"185,777"
2198,Cheng,Yangquan,Shanxi,District,"193,106"
2199,Kuang,Yangquan,Shanxi,District,"242,994"
2200,Jiao,Yangquan,Shanxi,District,"286,055"
2201,Pingding,Yangquan,Shanxi,County,"335,265"
2202,Yu,Yangquan,Shanxi,County,"311,082"
2203,Cheng,Changzhi,Shanxi,District,"483,628"
2204,Jiao,Changzhi,Shanxi,District,"281,213"
2205,Changzhi,Changzhi,Shanxi,County,"340,963"
2206,Xiangyuan,Changzhi,Shanxi,County,"270,216"
2207,Tunliu,Changzhi,Shanxi,County,"263,844"
2208,Pingshun,Changzhi,Shanxi,County,"150,955"
2209,Licheng,Changzhi,Shanxi,County,"158,541"
2210,Huguan,Changzhi,Shanxi,County,"291,609"
2211,Zhangzi,Changzhi,Shanxi,County,"353,266"
2212,Wuxiang,Changzhi,Shanxi,County,"182,548"
2213,Qin,Changzhi,Shanxi,County,"172,205"
2214,Qinyuan,Changzhi,Shanxi,County,"158,702"
2215,Lucheng,Changzhi,Shanxi,City,"226,874"
2216,Cheng,Jincheng,Shanxi,District,"476,945"
2217,Qinshui,Jincheng,Shanxi,County,"213,022"
2218,Yangcheng,Jincheng,Shanxi,County,"388,788"
2219,Lingchuan,Jincheng,Shanxi,County,"231,360"
2220,Zezhou,Jincheng,Shanxi,County,"484,174"
2221,Gaoping,Jincheng,Shanxi,City,"484,862"
2222,Shuocheng,Shuozhou,Shanxi,District,"505,294"
2223,Pinglu,Shuozhou,Shanxi,District,"203,793"
2224,Shanyin,Shuozhou,Shanxi,County,"238,885"
2225,Ying,Shuozhou,Shanxi,County,"327,973"
2226,Youyu,Shuozhou,Shanxi,County,"112,063"
2227,Huairen,Shuozhou,Shanxi,County,"326,849"
2228,Yuci,Jinzhong,Shanxi,District,635651
2229,Yushe,Jinzhong,Shanxi,County,134648
2230,Zuoquan,Jinzhong,Shanxi,County,161314
2231,Heshun,Jinzhong,Shanxi,County,144178
2232,Xiyang,Jinzhong,Shanxi,County,227896
2233,Shouyang,Jinzhong,Shanxi,County,211014
2234,Taigu,Jinzhong,Shanxi,County,298783
2235,Qi,Jinzhong,Shanxi,County,265310
2236,Pingyao,Jinzhong,Shanxi,County,502712
2237,Lingshi,Jinzhong,Shanxi,County,261402
2238,Jiexiu,Jinzhong,Shanxi,City,406517
2239,Yanhu,Yuncheng,Shanxi,District,"680,043"
2240,Linyi,Yuncheng,Shanxi,County,"57,251"
2241,Wanrong,Yuncheng,Shanxi,County,"439,364"
2242,Wenxi,Yuncheng,Shanxi,County,"404,146"
2243,Jishan,Yuncheng,Shanxi,County,"347,425"
2244,Xinjiang,Yuncheng,Shanxi,County,"332,473"
2245,Jiang,Yuncheng,Shanxi,County,"281,644"
2246,Yuanqu,Yuncheng,Shanxi,County,"231,018"
2247,Xia,Yuncheng,Shanxi,County,"352,821"
2248,Pinglu,Yuncheng,Shanxi,County,"258,241"
2249,Ruicheng,Yuncheng,Shanxi,County,"394,854"
2250,Yongji,Yuncheng,Shanxi,City,"444,724"
2251,Hejin,Yuncheng,Shanxi,City,"395,531"
2252,Xinfu,Xinzhou,Shanxi,District,"544,682"
2253,Dingxiang,Xinzhou,Shanxi,County,"217,468"
2254,Wutai,Xinzhou,Shanxi,County,"299,390"
2255,Dai,Xinzhou,Shanxi,County,"214,091"
2256,Fanshi,Xinzhou,Shanxi,County,"266,800"
2257,Ningwu,Xinzhou,Shanxi,County,"161,165"
2258,Jingle,Xinzhou,Shanxi,County,"156,846"
2259,Shenchi,Xinzhou,Shanxi,County,"106,538"
2260,Wuzhai,Xinzhou,Shanxi,County,"107,632"
2261,Kelan,Xinzhou,Shanxi,County,"84,395"
2262,Hequ,Xinzhou,Shanxi,County,"145,136"
2263,Baode,Xinzhou,Shanxi,County,"160,035"
2264,Pianguan,Xinzhou,Shanxi,County,"112,111"
2265,Yuanping,Xinzhou,Shanxi,City,"491,213"
2266,Yaodu,Linfen,Shanxi,District,"944,050"
2267,Quwo,Linfen,Shanxi,County,"237,033"
2268,Yicheng,Linfen,Shanxi,County,"311,471"
2269,Xiangfen,Linfen,Shanxi,County,"442,614"
2270,Hongdong,Linfen,Shanxi,County,"733,421"
2271,Gu,Linfen,Shanxi,County,"91,798"
2272,Anze,Linfen,Shanxi,County,"82,012"
2273,Fushan,Linfen,Shanxi,County,"127,831"
2274,Ji,Linfen,Shanxi,County,"106,407"
2275,Xiangning,Linfen,Shanxi,County,"233,162"
2276,Pu,Linfen,Shanxi,County,"107,339"
2277,Daning,Linfen,Shanxi,County,"64,501"
2278,Yonghe,Linfen,Shanxi,County,"63,649"
2279,Xi,Linfen,Shanxi,County,"103,617"
2280,Fenxi,Linfen,Shanxi,County,"144,795"
2281,Houma,Linfen,Shanxi,City,"240,005"
2282,Huozhou,Linfen,Shanxi,City,"282,907"
2283,Lishi,Lüliang,Shanxi,District,"320,142"
2284,Wenshui,Lüliang,Shanxi,County,"421,200"
2285,Jiaocheng,Lüliang,Shanxi,County,"230,522"
2286,Xing,Lüliang,Shanxi,County,"279,369"
2287,Lin,Lüliang,Shanxi,County,"579,069"
2288,Liulin,Lüliang,Shanxi,County,"320,681"
2289,Shilou,Lüliang,Shanxi,County,"111,814"
2290,Lan,Lüliang,Shanxi,County,"174,180"
2291,Fangshan,Lüliang,Shanxi,County,"143,809"
2292,Zhongyang,Lüliang,Shanxi,County,"141,374"
2293,Jiaokou,Lüliang,Shanxi,County,"119,919"
2294,Xiaoyi,Lüliang,Shanxi,City,"468,766"
2295,Fenyang,Lüliang,Shanxi,City,"416,212"
2296,Jinjiang,Chengdu,Sichuan,District,"690,422"
2297,Qingyang,Chengdu,Sichuan,District,"828,140"
2298,Jinniu,Chengdu,Sichuan,District,"1,754,201"
2299,Wuhou,Chengdu,Sichuan,District,"1,083,806"
2300,Chenghua,Chengdu,Sichuan,District,"938,785"
2301,Longquanyi,Chengdu,Sichuan,District,"767,203"
2302,Qingbaijiang,Chengdu,Sichuan,District,"381,792"
2303,Xindu,Chengdu,Sichuan,District,"775,703"
2304,Wenjiang,Chengdu,Sichuan,District,"457,070"
2305,Jintang,Chengdu,Sichuan,County,"717,225"
2306,Shuangliu,Chengdu,Sichuan,County,"1,158,516"
2307,Pi,Chengdu,Sichuan,County,"756,047"
2308,Dayi,Chengdu,Sichuan,County,"502,198"
2309,Pujiang,Chengdu,Sichuan,County,"239,562"
2310,Xinjin,Chengdu,Sichuan,County,"302,199"
2311,Dujiangyan,Chengdu,Sichuan,City,"657,996"
2312,Pengzhou,Chengdu,Sichuan,City,"762,887"
2313,Qionglai,Chengdu,Sichuan,City,"612,753"
2314,Chongzhou,Chengdu,Sichuan,City,"661,120"
2315,Ziliujing,Zigong,Sichuan,District,"346,401"
2316,Gongjing,Zigong,Sichuan,District,"260,607"
2317,Daan,Zigong,Sichuan,District,"382,245"
2318,Yantan,Zigong,Sichuan,District,"272,809"
2319,Rong,Zigong,Sichuan,County,"590,640"
2320,Fushun,Zigong,Sichuan,County,"826,196"
2321,Dong,Panzhihua,Sichuan,District,"364,326"
2322,Xi,Panzhihua,Sichuan,District,"162,557"
2323,Renhe,Panzhihua,Sichuan,District,"260,294"
2324,Miyi,Panzhihua,Sichuan,County,"219,227"
2325,Yanbian,Panzhihua,Sichuan,County,"207,717"
2326,Jiangyang,Luzhou,Sichuan,District,"575,233"
2327,Naxi,Luzhou,Sichuan,District,"451,401"
2328,Longmatan,Luzhou,Sichuan,District,"344,601"
2329,Lu,Luzhou,Sichuan,County,"840,336"
2330,Hejiang,Luzhou,Sichuan,County,"709,473"
2331,Xuyong,Luzhou,Sichuan,County,"584,299"
2332,Gulin,Luzhou,Sichuan,County,"713,083"
2333,Jingyang,Deyang,Sichuan,District,"735,070"
2334,Zhongjiang,Deyang,Sichuan,County,"1,186,762"
2335,Luojiang,Deyang,Sichuan,County,"212,186"
2336,Guanghan,Deyang,Sichuan,City,"591,115"
2337,Shifang,Deyang,Sichuan,City,"412,758"
2338,Mianzhu,Deyang,Sichuan,City,"477,868"
2339,Fucheng,Mianyang,Sichuan,District,"866,727"
2340,Youxian,Mianyang,Sichuan,District,"488,604"
2341,Santai,Mianyang,Sichuan,County,"1,042,064"
2342,Yanting,Mianyang,Sichuan,County,"417,221"
2343,An,Mianyang,Sichuan,County,"366,802"
2344,Zitong,Mianyang,Sichuan,County,"302,246"
2345,Pingwu,Mianyang,Sichuan,County,"170,959"
2346,Beichuan,Mianyang,Sichuan,Autonomous county (Qiang),"197,108"
2347,Jiangyou,Mianyang,Sichuan,City,"762,142"
2348,Lizhou,Guangyuan,Sichuan,District,"516,424"
2349,Zhaohua,Guangyuan,Sichuan,District,"168,489"
2349,Zhaohua,Guangyuan,Sichuan,District,"168,489"
2350,Chaotian,Guangyuan,Sichuan,District,"174,333"
2351,Wangcang,Guangyuan,Sichuan,County,"385,787"
2352,Qingchuan,Guangyuan,Sichuan,County,"222,253"
2353,Jiange,Guangyuan,Sichuan,County,"457,656"
2354,Cangxi,Guangyuan,Sichuan,County,"559,181"
2355,Chuanshan,Suining,Sichuan,District,"656,760"
2356,Anju,Suining,Sichuan,District,"639,125"
2357,Pengxi,Suining,Sichuan,County,"553,239"
2358,Shehong,Suining,Sichuan,County,"924,531"
2359,Daying,Suining,Sichuan,County,"478,896"
2360,Shizhong,Neijiang,Sichuan,District,"501,285"
2361,Dongxing,Neijiang,Sichuan,District,"749,810"
2362,Weiyuan,Neijiang,Sichuan,County,"626,482"
2363,Zizhong,Neijiang,Sichuan,County,"1,192,060"
2364,Longchang,Neijiang,Sichuan,County,"633,210"
2365,Shizhong,Leshan,Sichuan,District,"662,812"
2366,Shawan,Leshan,Sichuan,District,"187,180"
2367,Wutongqiao,Leshan,Sichuan,District,"312,086"
2368,Jinkouhe,Leshan,Sichuan,District,"49,157"
2369,Qianwei,Leshan,Sichuan,County,"434,409"
2370,Jingyan,Leshan,Sichuan,County,"282,222"
2371,Jiajiang,Leshan,Sichuan,County,"338,345"
2372,Muchuan,Leshan,Sichuan,County,"216,737"
2373,Ebian,Leshan,Sichuan,Autonomous county (Yi),"139,210"
